"tipo_bien","numero_oficio","juzgado","tipo_delito","medida","fecha_recepcion","fecha_medida","localizacion","provincia","estupefaciente_sustancia","estupefaciente_cantidad","arma_tipo","arma_numero_serie","arma_marca","arma_modelo","arma_calibre","automotor_tipo","automotor_dominio","automotor_marca","automotor_modelo","automotor_color","automotor_anio","aeronave_numero_serie","aeronave_matricula","aeronave_marca","aeronave_modelo","buque_pais","buque_nombre","buque_matricula","dinero_moneda_descripcion","dinero_cantidad","titulo_tipo","titulo_nombre_emisor","titulo_cantidad","titulo_fecha_vencimiento","titulo_categoria","titulo_bolsa_cotiza","titulo_moneda","otro_clasificacion","otro_detalle","provincia_id"
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","LJV 116","Chevrolet","CELTA 1.4 LT",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","LSJ212","Ford","MONDEO TITANIUM 2.0",,"2012",,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","LVM512","Ford","CARGO 1932",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","MAR313","BMW","XI 201",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","MCT629","Audi","RS5 4.2 FSI QUATTRO",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","MVQ196","BMW","X3 2.0I",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","NSK625","Chevrolet","CELTA LT",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","NZQ380","Volkswagen","GOL TREND 1.6",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","OBB618","Volkswagen","GOL TREND 1.6 GP",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","OCW051","Chevrolet","CLASSIC 4",,,,,,,,,,,,,,,,,,,,,""
